lang	title	subtitle	link	donate	languages	br0	br1	br2	br3	br4	br5	br6	br7	discord	sgf_title_prefix	 sgf_youtube_link	sgf_file_link	sgf_file_link_katago	home_page	google_drive_01	google_drive_02	google_drive_03	google_drive_04	json_01	json_02	json_03	json_04	json_05	json_06	json_07	json_08	json_09	json_10	json_11	json_12	json_13	json_14	json_15	json_16	json_17	json_18	json_19	json_20
pt-PT	Comentário a uma partida de go	Sítio do canal do YouTube	Transferência de ficheiros SGF	Apoie-me financeiramente, se puder	Idiomas disponíveis para dobragem e legendas:	Mensagem para jogadores e jogadoras de Go que falam português	Todos os meus vídeos estão dobrados e legendados em português, assim como em muitas outras línguas.	Desde que jogo Go, muitas vezes senti falta de conteúdos em francês, a minha língua materna. Foi isso que me levou a tornar os meus vídeos acessíveis no maior número de línguas possível.	Preparar dobragem e legendas em várias línguas dá bastante trabalho em cada vídeo. Diz-me de onde estás a ver: vai deixar-me feliz saber que o meu trabalho é útil no outro lado do mundo.	Também criei um canal no Discord para cada língua: vem dizer olá e conhecer outros jogadores e jogadoras que falam português.	Junta-te ao canal em português no Discord	E, claro, se gostares do conteúdo, subscreve e partilha.	Obrigado/a pela presença e boa partida!	https://discord.gg/RdWjyftz	Partida comentada no vídeo 	Ligação do YouTube	Ligação sgf	Transferir o ficheiro .sgf com a análise do katago	Página inicial de 19x19.win	Em baixo, o vídeo com áudio no seu idioma, e também as legendas no seu idioma. Este vídeo está alojado no Google Drive porque o YouTube ainda não permite que o canal adicione dobragens de áudio.	Ligação para a pasta do Google Drive que contém todos os vídeos dobrados	A ver o vídeo no Google Drive? Ainda assim, não te esqueças de deixar um like no YouTube!	Em baixo, o vídeo do YouTube (sem a dobragem no seu idioma, mas com legendas no seu idioma). Espero que o YouTube permita em breve adicionar as minhas próprias dobragens de áudio.	Partida de Go comentada	1d no FOX	2d no FOX	3d no FOX	4d no FOX	5d no FOX	Teste as suas próprias variações:	Transferência do ficheiro com a análise do KataGo:	Discussões específicas (no Discord) sobre esta partida:	Informações do canal:	O canal do Discord:	2d FOX	3d FOX							
it	Commento a una partita di go	Sito web del canale YouTube	Download dei file SGF	Mi sostenga finanziariamente, se può	Lingue disponibili per i doppiaggi e i sottotitoli:	Messaggio alle giocatrici e ai giocatori di Go che parlano italiano	Tutti i miei video sono doppiati e sottotitolati in italiano, oltre che in molte altre lingue.	Da quando gioco a Go, spesso mi sono mancati contenuti in francese, la mia lingua madre. È questo che mi ha spinto a rendere i miei video disponibili nel maggior numero possibile di lingue.	Preparare doppiaggio e sottotitoli in più lingue richiede molto lavoro per ogni video. Dimmi da dove stai guardando: mi farà piacere sapere che il mio lavoro è utile dall’altra parte del mondo.	Ho anche creato un canale Discord per ogni lingua: vieni a salutare e a incontrare altre giocatrici e altri giocatori che parlano italiano.	Unisciti al canale italiano su Discord	E naturalmente, se il contenuto ti piace, iscriviti e condividilo.	Grazie per la tua presenza e buona partita!	https://discord.gg/RdWjyftz	Partita commentata nel video 	Link YouTube	Link sgf	Scarica il file .sgf con l'analisi di katago	Pagina iniziale di 19x19.win	Di seguito il video con l’audio nella sua lingua e anche i sottotitoli nella sua lingua. Questo video è ospitato su Google Drive perché YouTube non consente ancora al canale di aggiungere doppiaggi audio.	Link alla cartella di Google Drive che contiene tutti i video doppiati	Stai guardando il video su Google Drive? Ricordati comunque di lasciare un like su YouTube!	Di seguito il video di YouTube (senza il doppiaggio audio nella sua lingua, ma con i sottotitoli nella sua lingua). Spero che YouTube consenta presto di aggiungere i miei doppiaggi audio.	Partita di go commentata	1d su FOX	2d su FOX	3d su FOX	4d su FOX	5d su FOX	Prova le tue varianti:	Download del file con l'analisi di KataGo:	Discussioni specifiche (su Discord) su questa partita:	Informazioni sul canale:	Il canale Discord:	2d FOX	3d FOX							
nl	Commentaar op een go-partij	Website van het YouTube-kanaal	Download van SGF-bestanden	Steun me financieel als u kunt	Beschikbare talen voor nasynchronisatie en ondertitels:	Bericht aan Go-spelers die Nederlands spreken	Al mijn video’s zijn nagesynchroniseerd en ondertiteld in het Nederlands, en ook in veel andere talen.	Sinds ik Go speel, heb ik vaak content in het Frans, mijn moedertaal, gemist. Dat heeft me ertoe gebracht mijn video’s in zoveel mogelijk talen beschikbaar te maken.	Het voorbereiden van nasynchronisatie en ondertitels in meerdere talen is voor elke video een flinke klus. Laat me weten van waar je kijkt: ik vind het leuk te weten dat mijn werk ook aan de andere kant van de wereld van nut is.	Ik heb ook voor elke taal een Discord-kanaal aangemaakt: kom hallo zeggen en ontmoet andere spelers die Nederlands spreken.	Sluit je aan bij het Nederlandstalige kanaal op Discord	En natuurlijk, als je de content waardeert, abonneer je dan en deel hem.	Bedankt voor je aanwezigheid en veel plezier met de partij!	https://discord.gg/RdWjyftz	Becommentarieerde partij in de video 	YouTube-link	sgf-link	Download het .sgf-bestand met katago-analyse	Startpagina van 19x19.win	Hieronder staat de video met audio in uw taal en ook ondertitels in uw taal. Deze video wordt gehost op Google Drive, omdat YouTube het kanaal nog niet toestaat om nagesynchroniseerde audiosporen toe te voegen.	Link naar de Google Drive-map met alle nagesynchroniseerde video's	Kijk je de video op Google Drive? Vergeet toch niet om een duimpje omhoog op YouTube achter te laten!	Hieronder staat de YouTube-video (zonder nagesynchronisatie in uw taal, maar met ondertitels in uw taal). Ik hoop dat YouTube snel toestaat mijn eigen nagesynchroniseerde audiotracks toe te voegen.	Go-partij met commentaar	1d op FOX	2d op FOX	3d op FOX	4d op FOX	5d op FOX	Test je eigen varianten:	Bestand downloaden met de analyse van KataGo:	Specifieke discussies (op Discord) over deze partij:	Informatie over het kanaal:	Het Discord-kanaal:	2d FOX	3d FOX							
hu	Kommentár egy go-partihoz	A YouTube-csatorna weboldala	SGF fájlok letöltése	Támogasson anyagilag, ha tud	Elérhető nyelvek a szinkronhoz és a feliratokhoz:	Üzenet azoknak a Go-játékosoknak, akik magyarul beszélnek	Minden videóm elérhető magyar szinkronnal és felirattal, valamint számos más nyelven is.	Amióta Go-zom, gyakran hiányoltam a francia nyelvű tartalmat, ami az anyanyelvem. Ez késztetett arra, hogy a videóimat a lehető legtöbb nyelven hozzáférhetővé tegyem.	Több nyelvű szinkron és felirat elkészítése videónként jelentős munka. Írd meg, honnan nézed: örömmel tölt el, ha tudom, hogy a munkám a világ másik felén is hasznos.	Minden nyelvnek készítettem egy Discord-csatornát is: gyere köszönni, és ismerkedj meg más magyarul beszélő játékosokkal.	Csatlakozz a magyar csatornához a Discordon	És persze, ha tetszik a tartalom, iratkozz fel és oszd meg másokkal.	Köszönöm, hogy itt vagy, és jó játékot!	https://discord.gg/RdWjyftz	Kommentált parti a videóban 	YouTube-link	sgf-link	A .sgf fájl letöltése katago elemzéssel	A 19x19.win kezdőlapja	Alább található a videó a saját nyelvén elérhető hanggal, valamint a saját nyelvén elérhető feliratokkal. Ezt a videót a Google Drive tárolja, mert a YouTube egyelőre nem teszi lehetővé a csatorna számára, hogy szinkronizált hangsávokat adjon hozzá.	Hivatkozás a Google Drive-mappára, amely az összes szinkronizált videót tartalmazza	A Google Drive-on nézed a videót? Azért ne felejts el egy lájkot nyomni a YouTube-on!	Alább található a YouTube-videó (nincs szinkron a saját nyelvén, de vannak feliratok a saját nyelvén). Remélem, a YouTube hamarosan engedélyezi, hogy hozzáadjam a saját szinkronsávjaimat.	Kommentált go-parti	1d a FOX-on	2d a FOX-on	3d a FOX-on	4d a FOX-on	5d a FOX-on	Teszteld a saját változataidat:	Fájl letöltése KataGo-elemzéssel:	Speciális beszélgetések (Discordon) erről a játszmáról:	A csatorna adatai:	A Discord-csatorna:	2d FOX	3d FOX							
ro	Comentariu la o partidă de go	Site-ul canalului YouTube	Descărcarea fișierelor SGF	Sprijiniți-mă financiar, dacă puteți	Limbi disponibile pentru dublaj audio și subtitrări:	Mesaj pentru jucătoarele și jucătorii de Go care vorbesc română	Toate videoclipurile mele sunt dublate și subtitrate în română, precum și în multe alte limbi.	De când joc Go, mi-au lipsit adesea conținuturi în franceză, limba mea maternă. Asta m-a determinat să fac videoclipurile mele accesibile în cât mai multe limbi.	Pregătirea dublajului și a subtitrărilor în mai multe limbi înseamnă multă muncă pentru fiecare videoclip. Spune-mi de unde urmărești: mă bucură să știu că munca mea este utilă și la celălalt capăt al lumii.	Am creat și un canal de Discord pentru fiecare limbă: vino să saluți și să cunoști alți jucători și jucătoare care vorbesc română.	Alătură-te canalului în română pe Discord	Și, bineînțeles, dacă îți place conținutul, abonează-te și distribuie-l.	Mulțumesc că ești aici și partidă plăcută!	https://discord.gg/RdWjyftz	Partidă comentată în videoclip 	Link YouTube	Link sgf	Descărcați fișierul .sgf cu analiza katago	Pagina principală a 19x19.win	Mai jos găsiți videoclipul cu audio în limba dvs., precum și subtitrări în limba dvs. Acest videoclip este găzduit pe Google Drive, deoarece YouTube încă nu permite canalului să adauge dublaje audio.	Link către folderul Google Drive care conține toate videoclipurile dublate	Te uiți la videoclipul pe Google Drive? Totuși, nu uita să lași un like pe YouTube!	Mai jos găsiți videoclipul de pe YouTube (fără dublaj audio în limba dvs., dar cu subtitrări în limba dvs.). Sper ca YouTube să permită în curând adăugarea propriilor mele dublaje audio.	Partidă de go comentată	1d pe FOX	2d pe FOX	3d pe FOX	4d pe FOX	5d pe FOX	Testează-ți propriile variante:	Descărcarea fișierului cu analiza KataGo:	Discuții specifice (pe Discord) despre această partidă:	Informații despre canal:	Canalul de Discord:	2d FOX	3d FOX							
tr	Bir go oyunu yorumu	YouTube kanalının web sitesi	SGF dosyalarının indirilmesi	Mümkünse beni maddi olarak destekleyin	Dublaj ve altyazılar için mevcut diller:	Türkçe konuşan Go oyuncularına mesaj	Tüm videolarım Türkçe dublajlı ve altyazılıdır; ayrıca birçok başka dilde de mevcuttur.	Go oynamaya başladığımdan beri ana dilim Fransızcada içerik sıkça eksikti. Bu da videolarımı olabildiğince çok dilde erişilebilir yapmama vesile oldu.	Birden fazla dilde dublaj ve altyazı hazırlamak her video için ciddi bir emek gerektiriyor. Nereden izlediğini söyle: Dünyanın öbür ucunda da işe yaradığını bilmek beni mutlu eder.	Her dil için bir Discord kanalı da oluşturdum: gel, selam ver ve Türkçe konuşan diğer oyuncularla tanış.	Discord’daki Türkçe kanala katıl	Ve tabii, içerik hoşuna gidiyorsa abone ol ve paylaş.	Burada olduğun için teşekkürler, iyi oyunlar!	https://discord.gg/RdWjyftz	Videoda yorumlu oyun 	YouTube bağlantısı	sgf bağlantısı	.sgf dosyasını katago analiziyle indir	19x19.win ana sayfası	Aşağıda kendi dilinizde sesli video ve yine kendi dilinizde altyazılar yer alıyor. Bu video, YouTube henüz kanalın dublajlı ses parçaları eklemesine izin vermediği için Google Drive’da barındırılıyor.	Dublajlı tüm videoları içeren Google Drive klasörünün bağlantısı	Videoyu Google Drive'da mı izliyorsunuz? Yine de YouTube'da beğeni bırakmayı unutmayın!	Aşağıda YouTube videosu (kendi dilinizde dublajlı ses yok, ancak kendi dilinizde altyazılar var). Umarım YouTube yakında kendi dublajlı ses parçalarımı eklememe izin verir.	Yorumlu Go oyunu	FOX'ta 1d	FOX'ta 2d	FOX'ta 3d	FOX'ta 4d	FOX'ta 5d	Kendi varyasyonlarınızı test edin:	KataGo analiziyle dosya indirme:	Bu oyun hakkında (Discord'da) özel tartışmalar:	Kanal bilgileri:	Discord kanalı:	2d FOX	3d FOX							
vi	Bình luận ván cờ vây	Trang web của kênh YouTube	Tải xuống tệp SGF	Nếu có thể, hãy hỗ trợ tôi về mặt tài chính	Ngôn ngữ có sẵn cho lồng tiếng và phụ đề:	Thông điệp gửi đến những người chơi Go nói tiếng Việt	Tất cả video của tôi đều được lồng tiếng và phụ đề bằng tiếng Việt, cũng như bằng nhiều ngôn ngữ khác.	Kể từ khi chơi Go, tôi thường thiếu nội dung bằng tiếng Pháp, ngôn ngữ mẹ đẻ của tôi. Điều đó đã thôi thúc tôi khiến các video của mình có sẵn bằng nhiều ngôn ngữ nhất có thể.	Việc chuẩn bị lồng tiếng và phụ đề bằng nhiều ngôn ngữ là một khối lượng công việc lớn cho mỗi video. Hãy cho tôi biết bạn đang xem từ đâu: tôi sẽ rất vui khi biết rằng công việc của mình hữu ích ở bên kia địa cầu.	Tôi cũng đã tạo một kênh Discord cho từng ngôn ngữ: hãy vào chào và gặp gỡ những người chơi khác nói tiếng Việt.	Tham gia kênh tiếng Việt trên Discord	Và tất nhiên, nếu bạn thích nội dung này, hãy đăng ký và chia sẻ.	Cảm ơn bạn đã đồng hành, chúc bạn chơi vui!	https://discord.gg/RdWjyftz	Ván đấu có bình luận trong video 	Liên kết YouTube	Liên kết sgf	Tải xuống tệp .sgf với phân tích katago	Trang chủ của 19x19.win	Bên dưới là video có âm thanh bằng ngôn ngữ của bạn, cùng với phụ đề bằng ngôn ngữ của bạn. Video này được lưu trữ trên Google Drive vì YouTube hiện vẫn chưa cho phép kênh thêm các bản âm thanh lồng tiếng.	Liên kết đến thư mục Google Drive chứa tất cả các video lồng tiếng	Bạn đang xem video trên Google Drive? Dù vậy, đừng quên để lại một lượt thích trên YouTube!	Bên dưới là video YouTube (không có lồng tiếng bằng ngôn ngữ của bạn, nhưng có phụ đề bằng ngôn ngữ của bạn). Tôi hy vọng YouTube sẽ sớm cho phép tôi thêm các bản âm thanh lồng tiếng của riêng mình.	Ván cờ vây có bình luận	1d trên FOX	2d trên FOX	3d trên FOX	4d trên FOX	5d trên FOX	Hãy thử các biến thể của bạn:	Tải xuống tệp kèm phân tích của KataGo:	Thảo luận cụ thể (trên Discord) về ván cờ vây này:	Thông tin kênh:	Kênh Discord:	2d FOX	3d FOX							
id	Komentar permainan go	Situs web kanal YouTube	Pengunduhan berkas SGF	Dukung saya secara finansial jika Anda bisa	Bahasa yang tersedia untuk sulih suara dan subtitle:	Pesan untuk para pemain Go yang berbahasa Indonesia	Semua video saya didubbing dan diberi subtitle dalam bahasa Indonesia, serta dalam banyak bahasa lainnya.	Sejak saya bermain Go, saya sering kekurangan konten dalam bahasa Prancis, bahasa ibu saya. Hal itulah yang mendorong saya membuat video saya tersedia dalam sebanyak mungkin bahasa.	Menyiapkan dubbing dan subtitle dalam beberapa bahasa adalah pekerjaan besar untuk setiap video. Beri tahu saya dari mana kamu menonton: saya senang mengetahui bahwa karya saya bermanfaat di seberang dunia.	Saya juga membuat kanal Discord untuk setiap bahasa: mampir sapa dan temui pemain lain yang berbahasa Indonesia.	Bergabunglah dengan kanal bahasa Indonesia di Discord	Dan tentu saja, jika kamu suka kontennya, jangan lupa berlangganan dan bagikan.	Terima kasih sudah hadir, selamat bermain!	https://discord.gg/RdWjyftz	Permainan yang dikomentari dalam video 	Tautan YouTube	Tautan sgf	Unduh file .sgf dengan analisis katago	Beranda 19x19.win	Di bawah ini adalah video dengan audio dalam bahasa Anda, serta subtitle dalam bahasa Anda. Video ini dihosting di Google Drive karena YouTube belum mengizinkan kanal menambahkan sulih suara audio.	Tautan ke folder Google Drive yang berisi semua video bersulih suara	Sedang menonton video di Google Drive? Tetap jangan lupa beri like di YouTube!	Di bawah ini adalah video YouTube (tanpa sulih suara dalam bahasa Anda, tetapi dengan subtitle dalam bahasa Anda). Saya berharap YouTube segera mengizinkan saya menambahkan trek audio sulih suara saya sendiri.	Permainan Go dengan komentar	1d di FOX	2d di FOX	3d di FOX	4d di FOX	5d di FOX	Uji variasi Anda sendiri:	Unduhan file dengan analisis KataGo:	Diskusi khusus (di Discord) tentang permainan ini:	Informasi saluran:	Saluran Discord:	2d FOX	3d FOX							
th	บทวิจารณ์เกมหมากล้อม	เว็บไซต์ของช่อง YouTube	ดาวน์โหลดไฟล์ SGF	โปรดสนับสนุนฉันทางการเงินหากคุณสามารถทำได้	ภาษาที่มีให้สำหรับเสียงพากย์และคำบรรยาย:	ข้อความถึงผู้เล่นโกะที่พูดภาษาไทย	วิดีโอทั้งหมดของฉันมีทั้งพากย์เสียงและคำบรรยายภาษาไทย รวมถึงในภาษาอื่นๆ อีกมากมาย	ตั้งแต่ฉันเริ่มเล่นโกะ ฉันมักจะขาดแคลนคอนเทนต์เป็นภาษาฝรั่งเศส ซึ่งเป็นภาษาแม่ของฉัน นี่แหละที่ทำให้ฉันตั้งใจทำให้วิดีโอของฉันเข้าถึงได้ในหลายภาษาให้ได้มากที่สุด	การเตรียมพากย์เสียงและคำบรรยายหลายภาษานั้นเป็นงานใหญ่สำหรับวิดีโอแต่ละคลิป บอกฉันหน่อยว่าคุณดูจากที่ไหน ฉันจะดีใจที่ได้รู้ว่างานของฉันมีประโยชน์แม้อยู่คนละซีกโลก	ฉันยังสร้างช่อง Discord สำหรับแต่ละภาษาไว้ด้วย แวะมาทักทายและพบกับผู้เล่นคนอื่นๆ ที่พูดภาษาไทย	เข้าร่วมช่องภาษาไทยบน Discord	และแน่นอน ถ้าคุณชอบคอนเทนต์นี้ อย่าลืมกดติดตามและแชร์ต่อ	ขอบคุณที่อยู่ตรงนี้ และขอให้เล่นเกมให้สนุก!	https://discord.gg/RdWjyftz	เกมที่มีการบรรยายในวิดีโอ 	ลิงก์ YouTube	ลิงก์ sgf	ดาวน์โหลดไฟล์ .sgf พร้อมการวิเคราะห์ katago	หน้าแรกของ 19x19.win	ด้านล่างคือวิดีโอที่มีเสียงเป็นภาษาของคุณ พร้อมทั้งคำบรรยายเป็นภาษาของคุณ วิดีโอนี้โฮสต์อยู่บน Google Drive เนื่องจาก YouTube ยังไม่อนุญาตให้ช่องเพิ่มแทร็กเสียงพากย์.	ลิงก์ไปยังโฟลเดอร์ Google Drive ที่มีวิดีโอพากย์ทั้งหมด	กำลังดูวิดีโอบน Google Drive อยู่ใช่ไหม? อย่างไรก็อย่าลืมกดไลก์บน YouTube!	ด้านล่างคือวิดีโอ YouTube (ไม่มีเสียงพากย์เป็นภาษาของคุณ แต่มี้คำบรรยายเป็นภาษาของคุณ) ฉันหวังว่า YouTube จะอนุญาตให้ฉันเพิ่มเสียงพากย์ของฉันเองในเร็วๆ นี้.	เกมโกะพร้อมคำบรรยาย	1d บน FOX	2d บน FOX	3d บน FOX	4d บน FOX	5d บน FOX	ทดสอบรูปแบบของคุณเอง:	ดาวน์โหลดไฟล์พร้อมการวิเคราะห์ของ KataGo:	การอภิปรายเฉพาะ (บน Discord) เกี่ยวกับเกมหมากล้อมนี้:	ข้อมูลของช่อง:	ช่อง Discord:	2d FOX	3d FOX							
he	פרשנות למשחק גו	האתר של ערוץ YouTube	הורדת קובצי SGF	תמכו בי כלכלית אם אתם יכולים	שפות זמינות לדיבוב שמע ולכתוביות:	הודעה לשחקני ושחקניות גו המדברים עברית	כל הסרטונים שלי מדובבים ומלווּים בכתוביות בעברית, וכן בשפות רבות נוספות.	מאז שאני משחק בגו, לעיתים קרובות חסר לי תוכן בצרפתית, שפת אמי. זה מה שדחף אותי להפוך את הסרטונים שלי לנגישים בכמה שיותר שפות.	הכנת דיבוב וכתוביות במספר שפות היא עבודה משמעותית לכל סרטון. ספר/י לי מאיפה אתה/את צופה – ישמח אותי לדעת שהעבודה שלי מועילה גם בצד השני של העולם.	יצרתי גם ערוץ Discord לכל שפה: בוא/י לומר שלום ולהכיר שחקנים ושחקניות נוספים הדוברים עברית.	הצטרף/י לערוץ בעברית ב‑Discord	וכמובן, אם התוכן מוצא חן בעיניך, הירשם/הירשמי ושתף/י.	תודה על הנוכחות, ומשחק נעים!	https://discord.gg/RdWjyftz	משחק עם פרשנות בווידאו 	קישור ל-YouTube	קישור ל-sgf	הורד את קובץ ה-.sgf עם ניתוח katago	דף הבית של 19x19.win	להלן הווידאו עם שמע בשפתכם, וכן כתוביות בשפתכם. הווידאו הזה מתארח ב‑Google Drive משום ש‑YouTube עדיין אינו מאפשר לערוץ להוסיף רצועות שמע מדובבות.	קישור לתיקיית Google Drive המכילה את כל הסרטונים המדובבים	אתם צופים בסרטון ב-Google Drive? בכל זאת אל תשכחו להשאיר לייק ביוטיוב!	להלן סרטון YouTube (ללא דיבוב בשפתכם, אך עם כתוביות בשפתכם). אני מקווה ש-YouTube יאפשר בקרוב להוסיף את רצועות הדיבוב שלי.	משחק גו עם פרשנות	1d ב-FOX	2d ב-FOX	3d ב-FOX	4d ב-FOX	5d ב-FOX	בדקו את הווריאציות שלכם:	הורדת הקובץ עם הניתוח של KataGo:	דיונים ספציפיים (ב־Discord) על המשחק הזה:	מידע על הערוץ:	הערוץ ב־Discord:	2d FOX	3d FOX							
ar	تعليق على مباراة في الغو	موقع قناة يوتيوب	تنزيل ملفات SGF	ادعموني مالياً إذا استطعتم	اللغات المتاحة للدبلجة الصوتية والترجمة النصية:	رسالة إلى لاعبي ولاعبات غو الذين يتحدثون العربية	جميع مقاطع الفيديو الخاصة بي مدبلجة ومصحوبة بترجمة باللغة العربية، وكذلك بلغات عديدة أخرى.	منذ أن بدأت ألعب غو، كثيرًا ما افتقدتُ محتوى باللغة الفرنسية، لغتي الأم. وهذا ما دفعني إلى إتاحة مقاطع الفيديو الخاصة بي بأكبر عدد ممكن من اللغات.	إعداد الدبلجة والترجمة بعدة لغات هو عمل كبير لكل فيديو. أخبرني من أين تشاهد: يسعدني أن أعلم أن عملي مفيد في الجهة الأخرى من العالم.	لقد أنشأت أيضًا قناة على ديسكورد لكل لغة: تعال/تعالي لإلقاء التحية والتعرّف إلى لاعبين ولاعبات آخرين يتحدثون العربية.	انضم إلى القناة العربية على ديسكورد	وبالطبع، إن أعجبك المحتوى فاشترك/ي وشاركه مع من حولك.	شكرًا لحضورك، وبالتوفيق في المباراة!	https://discord.gg/RdWjyftz	مباراة مشروحة في الفيديو 	رابط YouTube	رابط sgf	تنزيل ملف .sgf مع تحليل katago	الصفحة الرئيسية لـ 19x19.win	فيما يلي الفيديو مع الصوت بلغتك، وكذلك الترجمات بلغتك. هذا الفيديو مستضاف على Google Drive لأن YouTube لا يسمح للقناة حتى الآن بإضافة مسارات صوتية مدبلجة.	رابط إلى مجلد Google Drive الذي يحتوي على جميع مقاطع الفيديو المدبلجة	هل تشاهد الفيديو على Google Drive؟ مع ذلك لا تنسَ وضع إعجاب على YouTube!	فيما يلي فيديو YouTube (من دون دبلجة صوتية بلغتك، ولكن مع ترجمات بلغتك). آمل أن يسمح YouTube قريبًا بإضافة دبلجاتي الصوتية الخاصة.	مباراة غو مع تعليق	1d على FOX	2d على FOX	3d على FOX	4d على FOX	5d على FOX	اختبر تنويعاتك الخاصة:	تنزيل الملف مع تحليل KataGo:	مناقشات محددة (على Discord) حول هذه المباراة:	معلومات القناة:	قناة Discord:	2d FOX	3d FOX							
fa	شرح یک بازی گو	وب‌سایت کانال یوتیوب	دانلود فایل‌های SGF	در صورت امکان از نظر مالی از من حمایت کنید	زبان‌های موجود برای دوبلهٔ صوتی و زیرنویس‌ها:	پیام به بازیکنان گو که فارسی صحبت می‌کنند	تمام ویدئوهای من با دوبله و زیرنویس فارسی ارائه می‌شوند و همچنین به زبان‌های متعدد دیگر.	از زمانی که گو بازی می‌کنم، اغلب از نبود محتوای فرانسوی، زبان مادری‌ام، رنج برده‌ام. همین باعث شد ویدئوهایم را در بیشترین تعداد زبان ممکن در دسترس قرار دهم.	آماده‌سازی دوبله و زیرنویس در چندین زبان برای هر ویدئو کار قابل‌توجهی است. به من بگو از کجا تماشا می‌کنی؛ دانستن اینکه کارم در آن سوی دنیا هم به کار می‌آید خوشحالم می‌کند.	برای هر زبان یک کانال دیسکورد هم ساخته‌ام: بیا سلامی بده و با دیگر بازیکنان فارسی‌زبان آشنا شو.	به کانال فارسی در دیسکورد بپیوند	و البته اگر از محتوا خوشت آمد، عضو شو و آن را به اشتراک بگذار.	از حضورت سپاسگزارم و بازی خوبی داشته باشی!	https://discord.gg/RdWjyftz	بازیِ شرح‌شده در ویدیو 	لینک YouTube	لینک sgf	دانلود فایل .sgf با تحلیل katago	صفحه اصلی 19x19.win	در ادامه ویدئو با صدا به زبان شما و همچنین زیرنویس به زبان شما آمده است. این ویدئو روی Google Drive میزبانی می‌شود، زیرا YouTube هنوز به کانال اجازه افزودن دوبله‌های صوتی را نمی‌دهد.	پیوند به پوشهٔ Google Drive که شامل همهٔ ویدئوهای دوبله‌شده است	دارید ویدیو را در Google Drive می‌بینید؟ با این حال یادتان نرود در YouTube یک لایک بگذارید!	در ادامه ویدئوی YouTube قرار دارد (بدون دوبلهٔ صوتی به زبان شما، اما با زیرنویس به زبان شما). امیدوارم YouTube به‌زودی اجازهٔ افزودن دوبله‌های صوتی خودم را بدهد.	بازی گو با تفسیر	1d در FOX	2d در FOX	3d در FOX	4d در FOX	5d در FOX	واریانت‌های خود را آزمایش کنید:	دانلود فایل همراه با تحلیل KataGo:	گفت‌وگوهای ویژه (در Discord) دربارهٔ این بازی:	اطلاعات کانال:	کانال دیسکورد:	2d FOX	3d FOX							
sv	Kommentar till ett go-parti	Webbplats för YouTube-kanalen	Nedladdning av SGF-filer	Stöd mig ekonomiskt om du kan	Tillgängliga språk för dubbning och undertexter:	Meddelande till Go-spelare som pratar svenska	Alla mina videor är dubbade och textade på svenska, samt på många andra språk.	Sedan jag började spela Go har jag ofta saknat innehåll på franska, mitt modersmål. Det fick mig att göra mina videor tillgängliga på så många språk som möjligt.	Att förbereda dubbning och undertexter på flera språk innebär mycket arbete för varje video. Berätta var du tittar från – det gläder mig att veta att mitt arbete gör nytta på andra sidan jorden.	Jag har också skapat en Discord-kanal för varje språk: kom och säg hej och träffa andra spelare som pratar svenska.	Gå med i den svenska kanalen på Discord	Och om du gillar innehållet, prenumerera gärna och dela det vidare.	Tack för att du är här, och ha en trevlig match!	https://discord.gg/RdWjyftz	Kommenterat parti i videon 	YouTube-link	sgf-link	Ladda ner .sgf-filen med katago-analys	Startsida för 19x19.win	Nedan finns videon med ljud på ditt språk samt undertexter på ditt språk. Den här videon är hostad på Google Drive eftersom YouTube ännu ikke tillåter kanalen att lägga till dubbade ljudspår.	Länk till Google Drive-mappen som innehåller alla dubbade videor	Tittar du på videon på Google Drive? Glöm ändå inte att lämna en tumme upp på YouTube!	Nedan finns YouTube-videon (utan dubbning på ditt språk, men med undertexter på ditt språk). Jag hoppas att YouTube snart tillåter att jag lägger till mina egna dubbade ljudspår.	Kommenterat go-parti	1d på FOX	2d på FOX	3d på FOX	4d på FOX	5d på FOX	Testa dina egna varianter:	Nedladdning av filen med KataGo-analys:	Specifika diskussioner (på Discord) om detta parti:	Information om kanalen:	Discord-kanalen:	2d FOX	3d FOX							
